# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.015707963       10428.342    0.0020476001
0.000     0.031415927       25455.396     0.039985242
0.000     0.047123890       12813.529     0.067930122
0.000     0.062831853       10446.411      0.13127348
0.000     0.078539816       7836.9043      0.19234657
0.000     0.094247780       6295.8872      0.26701802
0.000      0.10995574       5099.9518      0.34347101
0.000      0.12566371       4174.2325      0.41963962
0.000      0.14137167       3382.9246      0.48422782
0.000      0.15707963       3133.7317      0.61530678
0.000      0.17278760       2791.9069      0.72964041
0.000      0.18849556       2345.2225      0.79571524
0.000      0.20420352       2213.5905      0.95489856
0.000      0.21991149       1994.8520       1.0747926
0.000      0.23561945       1805.5393       1.1964943
0.000      0.25132741       1693.2412       1.3617854
0.000      0.26703538       1523.7789       1.4699367
0.000      0.28274334       1441.3532       1.6505087
0.000      0.29845130       1354.6580       1.8244012
0.000      0.31415927       1261.9587       1.9822801
0.000      0.32986723       1187.4429       2.1592380
0.000      0.34557519       1123.2897       2.3484955
0.000      0.36128316       1065.3887       2.5451975
0.000      0.37699112       1022.6252       2.7757485
0.000      0.39269908       967.27199       2.9675533
0.000      0.40840704       921.52433       3.1802169
0.000      0.42411501       894.43589       3.4567693
0.000      0.43982297       864.20505       3.7249529
0.000      0.45553093       800.67546       3.8342498
0.000      0.47123890       796.99542       4.2252215
0.000      0.48694686       743.92809       4.3515696
0.000      0.50265482       735.89719       4.7347491
0.000      0.51836279       711.74681       5.0222374
0.000      0.53407075       684.28100       5.2808171
0.000      0.54977871       647.56991       5.4515586
0.000      0.56548668       629.21129       5.7641317
0.000      0.58119464       634.83512       6.3138754
0.000      0.59690260       600.97292       6.4749375
0.000      0.61261057       599.45987       6.9820640
0.000      0.62831853       584.17142       7.3409146
0.000      0.64402649       564.24377       7.6356890
0.000      0.65973446       560.73327       8.1570680
0.000      0.67544242       545.19198       8.5110809
0.000      0.69115038       532.00671       8.8982587
0.000      0.70685835       515.93370       9.2312673
0.000      0.72256631       499.55703       9.5474734
0.000      0.73827427       486.30045       9.9135257
0.000      0.75398224       482.39664       10.475093
0.000      0.76969020       464.86671       10.738573
0.000      0.78539816       456.78380       11.211161
0.000      0.80110613       448.32382       11.677026
0.000      0.81681409       443.72243       12.250429
0.000      0.83252205       436.42791       12.757630
0.000      0.84823002       425.97500       13.170288
0.000      0.86393798       414.75738       13.549151
0.000      0.87964594       403.82363       13.924695
0.000      0.89535391       400.49140       14.562893
0.000      0.91106187       392.91924       15.052796
0.000      0.92676983       387.98628       15.645963
0.000      0.94247780       376.07117       15.949743
0.000      0.95818576       370.02454       16.491111
0.000      0.97389372       368.23567       17.231807
0.000      0.98960169       361.70607       17.758543
0.000       1.0053096       351.85067       18.110406
0.000       1.0367256       342.57253       19.338119
0.000       1.0681415       331.33072       20.455888
