# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1092.6918   0.00021454954
3.000     0.031415927       2580.2273    0.0040530116
3.000     0.047123890       1308.7726    0.0069383763
3.000     0.062831853       1111.4662     0.013967097
3.000     0.078539816       827.86156     0.020318780
3.000     0.094247780       619.29902     0.026265401
3.000      0.10995574       509.95835     0.034344620
3.000      0.12566371       463.76514     0.046622757
3.000      0.14137167       328.27152     0.046988396
3.000      0.15707963       282.05486     0.055381342
3.000      0.17278760       249.55968     0.065220236
3.000      0.18849556       228.20518     0.077428192
3.000      0.20420352       198.16887     0.085486074
3.000      0.21991149       175.49266     0.094552485
3.000      0.23561945       154.40106      0.10231845
3.000      0.25132741       142.95689      0.11497275
3.000      0.26703538       122.47723      0.11814953
3.000      0.28274334       110.00866      0.12597208
3.000      0.29845130       99.191300      0.13358702
3.000      0.31415927       89.737293      0.14095901
3.000      0.32986723       82.114572      0.14931657
3.000      0.34557519       74.058628      0.15483659
3.000      0.36128316       70.169983      0.16763503
3.000      0.37699112       63.512225      0.17239352
3.000      0.39269908       59.337192      0.18204423
3.000      0.40840704       56.292867      0.19426891
3.000      0.42411501       52.148117      0.20153933
3.000      0.43982297       49.139744      0.21180532
3.000      0.45553093       45.582923      0.21828609
3.000      0.47123890       43.140853      0.22870854
3.000      0.48694686       39.675491      0.23207977
3.000      0.50265482       38.082995      0.24502530
3.000      0.51836279       35.762584      0.25234843
3.000      0.53407075       34.026083      0.26259025
3.000      0.54977871       32.437467      0.27307438
3.000      0.56548668       31.158885      0.28544294
3.000      0.58119464       29.187025      0.29028520
3.000      0.59690260       27.695032      0.29838883
3.000      0.61261057       26.442345      0.30798083
3.000      0.62831853       25.163181      0.31620986
3.000      0.64402649       24.008842      0.32490222
3.000      0.65973446       22.691018      0.33008953
3.000      0.67544242       22.204034      0.34663079
3.000      0.69115038       21.280978      0.35594221
3.000      0.70685835       20.724508      0.37081019
3.000      0.72256631       19.337795      0.36958159
3.000      0.73827427       18.997696      0.38727941
3.000      0.75398224       18.224392      0.39573700
3.000      0.76969020       17.741607      0.40983693
3.000      0.78539816       16.962028      0.41631081
3.000      0.80110613       16.359978      0.42611138
