# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.015707963       10409.427    0.0020438863
0.000     0.031415927       25406.487     0.039908417
0.000     0.047123890       12790.554     0.067808322
0.000     0.062831853       10432.118      0.13109386
0.000     0.078539816       7828.7215      0.19214573
0.000     0.094247780       6291.3544      0.26682578
0.000      0.10995574       5099.1577      0.34341753
0.000      0.12566371       4176.5604      0.41987365
0.000      0.14137167       3387.1042      0.48482608
0.000      0.15707963       3139.4716      0.61643380
0.000      0.17278760       2799.0584      0.73150938
0.000      0.18849556       2352.9421      0.79833445
0.000      0.20420352       2223.4597      0.95915592
0.000      0.21991149       2005.6040       1.0805856
0.000      0.23561945       1816.7045       1.2038932
0.000      0.25132741       1705.6441       1.3717603
0.000      0.26703538       1537.0434       1.4827324
0.000      0.28274334       1455.9878       1.6672669
0.000      0.29845130       1369.2791       1.8440924
0.000      0.31415927       1277.2932       2.0063674
0.000      0.32986723       1203.5661       2.1885562
0.000      0.34557519       1140.1148       2.3836720
0.000      0.36128316       1082.4593       2.5859789
0.000      0.37699112       1040.8415       2.8251935
0.000      0.39269908       985.92674       3.0247854
0.000      0.40840704       940.34944       3.2451831
0.000      0.42411501       914.47159       3.5342023
0.000      0.43982297       884.60435       3.8128793
0.000      0.45553093       820.68752       3.9300829
0.000      0.47123890       818.68150       4.3401889
0.000      0.48694686       764.92799       4.4744074
0.000      0.50265482       758.13146       4.8778040
0.000      0.51836279       734.14345       5.1802729
0.000      0.53407075       706.86301       5.4550897
0.000      0.54977871       670.10847       5.6412992
0.000      0.56548668       652.06704       5.9735106
0.000      0.58119464       659.25084       6.5567067
0.000      0.59690260       624.91135       6.7328524
0.000      0.61261057       624.07677       7.2687834
0.000      0.62831853       609.06484       7.6537345
0.000      0.64402649       589.35775       7.9755467
0.000      0.65973446       586.06452       8.5255655
0.000      0.67544242       570.95596       8.9132865
0.000      0.69115038       558.07051       9.3341976
0.000      0.70685835       542.06308       9.6987833
0.000      0.72256631       525.53412       10.043944
0.000      0.73827427       512.15614       10.440609
0.000      0.75398224       508.90887       11.050798
0.000      0.76969020       491.38011       11.351041
0.000      0.78539816       483.07992       11.856565
0.000      0.80110613       474.65660       12.362888
0.000      0.81681409       470.36705       12.986042
0.000      0.83252205       463.59119       13.551666
0.000      0.84823002       453.04756       14.007317
0.000      0.86393798       441.52332       14.423532
0.000      0.87964594       430.61085       14.848376
0.000      0.89535391       427.43113       15.542490
0.000      0.91106187       420.19871       16.097876
0.000      0.92676983       415.28561       16.746838
0.000      0.94247780       403.10989       17.096495
0.000      0.95818576       397.01989       17.694230
0.000      0.97389372       395.48189       18.506810
0.000      0.98960169       388.94959       19.096108
0.000       1.0053096       378.75748       19.495350
0.000       1.0367256       369.83613       20.877141
0.000       1.0681415       358.45629       22.130582
0.000       1.0995574       352.36049       23.730737
0.000       1.1309734       332.87532       24.395458
0.000       1.1623893       324.44772       25.814860
0.000       1.1938052       318.65849       27.466047
0.000       1.2252211       311.40925       29.016512
