% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2408.8042     0.030269927
0.000      0.12566371       3706.1795      0.37258580
0.000      0.18849556       1527.6876      0.51833220
0.000      0.25132741       1234.5197      0.99285969
0.000      0.31415927       891.20209       1.3998970
0.000      0.37699112       672.91864       1.8265273
0.000      0.43982297       561.35367       2.4195831
0.000      0.50265482       504.44085       3.2455632
0.000      0.56548668       425.86902       3.9013367
0.000      0.62831853       401.97430       5.0513580
0.000      0.69115038       359.65968       6.0156099
0.000      0.75398224       322.95796       7.0129315
0.000      0.81681409       315.35054       8.7062975
0.000      0.87964594       296.90148       10.237793
0.000      0.94247780       276.79079       11.739113
0.000       1.0053096       262.09919       13.490731
0.000       1.0681415       248.26109       15.327287
0.000       1.1309734       221.31999       16.219894
0.000       1.1938052       218.88435       18.866241
0.000       1.2566371       196.36317       19.740579
0.000       1.3194689       195.70498       22.775589
0.000       1.3823008       190.70979       25.518251
0.000       1.4451326       178.95265       27.360971
0.000       1.5079645       168.12536       29.206318
0.000       1.5707963       163.27849       32.059657
0.000       1.6336282       155.92736       34.439135
0.000       1.6964600       146.94485       36.345909
0.000       1.7592919       139.56994       38.501341
0.000       1.8221237       135.46584       41.517734
0.000       1.8849556       131.74218       44.699069
0.000       1.9477874       125.48752       46.978103
0.000       2.0106193       122.99247       50.645205
0.000       2.0734512       116.67978       52.692315
0.000       2.1362830       111.91410       55.275342
0.000       2.1991149       104.94201       56.540987
0.000       2.2619467       103.47586       60.667546
0.000       2.3247786       99.454973       63.305514
0.000       2.3876104       98.907704       68.201005
0.000       2.4504423       93.313902       69.558472
0.000       2.5132741       91.246821       73.385048
0.000       2.5761060       85.861211       74.363264
0.000       2.6389378       84.305960       78.490305
0.000       2.7017697       80.763160       80.691638
0.000       2.7646015       78.474148       84.002943
0.000       2.8274334       76.375912       87.458860
0.000       2.8902652       73.323662       89.686589
0.000       2.9530971       72.382063       94.435306
0.000       3.0159289       69.400929       96.449251
0.000       3.0787608       67.477994       99.760880
0.000       3.1415927       64.885468       101.92185
0.000       3.2044245       63.786256       106.32797
0.000       3.2672564       60.632213       107.13301
0.000       3.3300882       59.189517       110.73433
0.000       3.3929201       57.587337       113.95100
0.000       3.4557519       55.973980       117.02647
0.000       3.5185838       53.736466       118.58863
0.000       3.5814156       52.926857       123.17159
0.000       3.6442475       50.906301       124.81460
0.000       3.7070793       50.205342       129.57339
0.000       3.7699112       49.139015       133.37980
0.000       3.8327430       48.120487       137.25538
0.000       3.8955749       46.613560       139.60379
0.000       3.9584067       45.374379       142.57462
0.000       4.0212386       43.772689       144.19593
0.000       4.1469023       41.162368       148.71063
0.000       4.2725660       40.263121       159.09042
0.000       4.3982297       37.916721       163.43112
