% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2409.4438     0.030277964
0.000      0.12566371       3705.5948      0.37252702
0.000      0.18849556       1526.9136      0.51806958
0.000      0.25132741       1233.5615      0.99208900
0.000      0.31415927       889.96372       1.3979517
0.000      0.37699112       671.79347       1.8234732
0.000      0.43982297       559.99443       2.4137245
0.000      0.50265482       503.18163       3.2374614
0.000      0.56548668       423.91351       3.8834226
0.000      0.62831853       400.42269       5.0318599
0.000      0.69115038       357.59302       5.9810434
0.000      0.75398224       320.81669       6.9664345
0.000      0.81681409       312.85255       8.6373322
0.000      0.87964594       294.05389       10.139602
0.000      0.94247780       274.14872       11.627059
0.000       1.0053096       259.12990       13.337897
0.000       1.0681415       244.99261       15.125495
0.000       1.1309734       218.14600       15.987282
0.000       1.1938052       215.35186       18.561766
0.000       1.2566371       192.93876       19.396319
0.000       1.3194689       191.55044       22.292095
0.000       1.3823008       186.65925       24.976261
0.000       1.4451326       174.73309       26.715821
0.000       1.5079645       164.39439       28.558184
0.000       1.5707963       159.12454       31.244031
0.000       1.6336282       151.91329       33.552562
0.000       1.6964600       142.89836       35.345033
0.000       1.7592919       135.49954       37.378493
0.000       1.8221237       131.15597       40.196840
0.000       1.8849556       127.27753       43.184249
0.000       1.9477874       121.15770       45.357171
0.000       2.0106193       118.40178       48.754872
0.000       2.0734512       112.23209       50.683748
0.000       2.1362830       107.41662       53.053994
0.000       2.1991149       100.61451       54.209399
0.000       2.2619467       98.858882       57.960625
0.000       2.3247786       94.872171       60.388449
0.000       2.3876104       94.170532       64.934527
0.000       2.4504423       88.629736       66.066780
0.000       2.5132741       86.635629       69.676507
0.000       2.5761060       81.279508       70.395111
0.000       2.6389378       79.608798       74.117165
0.000       2.7017697       76.186161       76.118693
0.000       2.7646015       73.826314       79.027652
0.000       2.8274334       71.738544       82.148561
0.000       2.8902652       68.769378       84.115969
0.000       2.9530971       67.755183       88.398717
0.000       3.0159289       64.910738       90.209053
0.000       3.0787608       62.971516       93.098407
0.000       3.1415927       60.522767       95.068939
0.000       3.2044245       59.381872       98.986115
0.000       3.2672564       56.348064       99.563212
0.000       3.3300882       54.816483       102.55306
0.000       3.3929201       53.291949       105.45150
0.000       3.4557519       51.758743       108.21355
0.000       3.5185838       49.578954       109.41360
0.000       3.5814156       48.772597       113.50378
0.000       3.6442475       46.821439       114.79913
0.000       3.7070793       46.042513       118.82968
0.000       3.7699112       45.007988       122.16680
0.000       3.8327430       44.077243       125.72273
0.000       3.8955749       42.588699       127.54966
0.000       3.9584067       41.448032       130.23731
0.000       4.0212386       39.964915       131.65237
0.000       4.1469023       37.486639       135.43103
0.000       4.2725660       36.556532       144.44469
0.000       4.3982297       34.299731       147.84093
0.000       4.5238934       31.934246       149.78351
0.000       4.6495571       30.545258       155.54241
0.000       4.7752208       29.284112       161.54097
0.000       4.9008845       28.088702       167.50406
0.000       5.0265482       26.956492       173.43758
0.000       5.1522120       25.614102       177.47229
0.000       5.2778757       23.833154       177.51262
0.000       5.4035394       23.141723       184.96983
0.000       5.5292031       22.336400       191.28066
0.000       5.6548668       21.597361       197.85092
0.000       5.7805305       20.594035       201.51844
0.000       5.9061942       19.485936       203.38303
0.000       6.0318579       18.795100       208.96243
0.000       6.1575216       18.027793       213.22133
0.000       6.2831853       17.334832       217.83593
0.000       6.4088490       16.646074       221.98426
0.000       6.5345127       15.898395       224.73109
0.000       6.6601764       15.547065       232.68901
0.000       6.7858401       14.974689       237.04944
0.000       6.9115038       14.264689       238.58889
0.000       7.0371675       13.667674       241.30068
0.000       7.1628313       13.354244       248.62439
0.000       7.2884950       12.902907       253.08792
0.000       7.4141587       12.553651       259.19458
0.000       7.5398224       12.070418       262.10536
0.000       7.6654861       11.595790       264.59992
0.000       7.7911498       11.310464       270.99129
0.000       7.9168135       10.963678       275.59908
0.000       8.0424772       10.711735       282.29267
0.000       8.2938046       9.8695574       285.25242
0.000       8.5451320       9.2966201       293.86758
0.000       8.7964594       8.9872105       309.89808
0.000       9.0477868       8.4897748       318.56166
0.000       9.2991143       7.9664688       324.53450
0.000       9.5504417       7.5742553       334.25704
0.000       9.8017691       7.1631777       341.73494
0.000       10.053096       6.7670052       348.31030
0.000       10.304424       6.4838721       359.39816
0.000       10.555751       6.1515226       366.53912
0.000       10.807079       5.8521550       374.20624
0.000       11.058406       5.5480475       380.09139
0.000       11.309734       5.3933815       395.26514
0.000       11.561061       5.1298748       401.57817
0.000       11.812388       4.9572036       413.92358
0.000       12.063716       4.7264484       420.38622
0.000       12.315043       4.5798926       433.34459
0.000       12.566371       4.3570516       438.01860
0.000       12.817698       4.2141969       449.58849
0.000       13.069025       4.0456708       457.49928
0.000       13.320353       3.8598474       462.15492
0.000       13.571680       3.7626772       476.50568
0.000       13.823008       3.5995697       481.64660
0.000       14.074335       3.5114735       495.95619
0.000       14.325663       3.3458367       498.33242
0.000       14.576990       3.2758399       514.03949
0.000       14.828317       3.1527583       520.75872
0.000       15.079645       3.0676225       532.89973
0.000       15.330972       2.9506567       538.63928
0.000       15.582300       2.8386863       544.10450
0.000       15.833627       2.7364058       550.29046
0.000       16.084954       2.6627083       561.37538
0.000       16.587609       2.5471599       588.94922
0.000       17.090264       2.3588192       596.50108
0.000       17.592919       2.2421742       618.51939
0.000       18.095574       2.0669738       620.47216
0.000       18.598229       1.9813486       645.72247
0.000       19.100883       1.8648675       658.38300
0.000       19.603538       1.7848659       681.20722
0.000       20.106193       1.6584366       682.90247
0.000       20.608848       1.6288496       722.29129
0.000       21.111503       1.5096204       719.60713
0.000       21.614157       1.4665161       750.19133
0.000       22.116812       1.3750085       753.60407
0.000       22.619467       1.3313309       780.55476
0.000       23.122122       1.2844242       804.38098
0.000       23.624777       1.2140933       811.00863
0.000       24.127432       1.1686293       831.53455
0.000       24.630086       1.1246199       851.28277
0.000       25.132741       1.0605789       852.96812
0.000       25.635396       1.0263813       875.98991
0.000       26.138051      0.99927124       904.01002
0.000       26.640706      0.95698394       916.66803
0.000       27.143361      0.91141287       923.37107
0.000       27.646015      0.87684055       938.61723
0.000       28.148670      0.85537596       966.49797
0.000       28.651325      0.82453555       982.45751
0.000       29.153980      0.79213446       994.40365
0.000       29.656635      0.77212142       1020.2849
0.000       30.159289      0.74741210       1038.7085
0.000       30.661944      0.71989133       1051.3233
0.000       31.164599      0.70034684       1073.9104
0.000       31.667254      0.68249057       1097.9893
0.000       32.169909      0.65228217       1100.1585
0.000       33.175218      0.62210943       1150.7432
0.000       34.180528      0.58746398       1188.4689
0.000       35.185838      0.55162213       1217.3505
0.000       36.191147      0.50453282       1211.6209
0.000       37.196457      0.49599546       1293.1613
0.000       38.201767      0.47107710       1330.4930
0.000       39.207076      0.44310399       1352.9112
0.000       40.212386      0.42892111       1412.9513
0.000       41.217696      0.40575978       1439.4294
0.000       42.223005      0.38352994       1462.5710
0.000       43.228315      0.36944794       1511.9187
0.000       44.233625      0.35027199       1535.7950
0.000       45.238934      0.34015086       1595.4343
0.000       46.244244      0.32106981       1608.5804
0.000       47.249554      0.31425168       1679.3492
0.000       48.254863      0.29873130       1700.4907
0.000       49.260173      0.29119398       1763.3578
0.000       50.265482      0.27635397       1778.0564
0.000       51.270792      0.27165775       1854.8228
0.000       52.276102      0.26133237       1891.3550
0.000       53.281411      0.24815191       1901.5820
0.000       54.286721      0.23984535       1943.9379
0.000       55.292031      0.23117243       1979.6751
0.000       56.297340      0.22492632       2033.1723
0.000       57.302650      0.21734516       2071.7834
0.000       58.307960      0.21001506       2109.1342
0.000       59.313269      0.20166622       2131.8616
0.000       60.318579      0.19986497       2222.0829
0.000       61.323889      0.19309741       2255.9827
0.000       62.329198      0.18742813       2299.2154
0.000       63.334508      0.18260081       2350.1423
0.000       64.339818      0.17694591       2387.5379
0.000       66.350437      0.16777512       2482.7282
0.000       68.361056      0.15889446       2571.6111
0.000       70.371675      0.15180107       2680.0245
0.000       72.382295      0.14621189       2808.9886
0.000       74.392914      0.13672446       2851.7483
0.000       76.403533      0.13200252       2982.5849
0.000       78.414153      0.12297688       3003.8420
0.000       80.424772      0.12032310       3170.9455
0.000       82.435391      0.11534000       3273.3415
0.000       84.446011      0.11106292       3388.2603
0.000       86.456630      0.10694609       3501.3060
0.000       88.467249      0.10264215       3600.3405
0.000       90.477868      0.10038463       3766.7305
0.000       92.488488     0.095328486       3820.8148
0.000       94.499107     0.092671644       3961.8702
0.000       96.509726     0.088672370       4038.0513
0.000       98.520346     0.086189816       4175.4568
0.000       100.53096     0.083546438       4300.2900
0.000       102.54158     0.080258119       4383.8865
0.000       104.55220     0.078571744       4549.2125
0.000       106.56282     0.076080871       4664.0466
0.000       108.57344     0.072523598       4702.4092
0.000       110.58406     0.071695271       4911.7740
0.000       112.59468     0.069022354       4991.2997
0.000       114.60530     0.067672439       5160.5524
0.000       116.61592     0.065630530       5272.9019
0.000       118.62654     0.064406906       5446.8858
0.000       120.63716     0.062335902       5544.3648
0.000       122.64778     0.060805728       5683.2112
0.000       124.65840     0.059245782       5814.2313
0.000       126.66902     0.057398577       5909.9332
0.000       128.67964     0.056094579       6055.0901
0.000       132.70087     0.055256265       6541.4365
0.000       136.72211     0.051252627       6635.9433
0.000       140.74335     0.047687711       6735.3536
0.000       144.76459     0.046313359       7118.0915
0.000       148.78583     0.044721971       7462.3548
0.000       152.80707     0.043838437       7924.2038
0.000       156.82831     0.042350347       8275.6207
0.000       160.84954     0.040103184       8454.9028
0.000       164.87078     0.038630460       8770.6390
0.000       168.89202     0.036830171       8988.7934
0.000       172.91326     0.035781203       9371.5213
0.000       176.93450     0.034317569       9629.9565
0.000       180.95574     0.033231715       9975.6243
0.000       184.97698     0.032382584       10383.285
0.000       188.99821     0.031573143       10798.444
0.000       193.01945     0.030576346       11139.330
0.000       197.04069     0.028842903       11178.332
0.000       201.06193     0.028523332       11745.190
0.000       205.08317     0.028549425       12475.492
0.000       209.10441     0.027227100       12611.339
0.000       213.12565     0.026447842       12970.826
0.000       217.14688     0.025993469       13483.272
0.000       221.16812     0.024784713       13583.815
0.000       225.18936     0.024675969       14275.393
0.000       229.21060     0.023626466       14413.622
0.000       233.23184     0.022998889       14782.253
0.000       237.25308     0.022236792       15044.507
0.000       241.27432     0.021932243       15605.820
0.000       245.29555     0.021533657       16101.157
0.000       249.31679     0.020670957       16228.763
0.000       253.33803     0.020494142       16881.117
0.000       257.35927     0.019817167       17113.202
0.000       265.40175     0.019217334       18200.141
0.000       273.44422     0.018331252       18987.538
0.000       281.48670     0.017593433       19878.998
0.000       289.52918     0.016466812       20246.819
0.000       297.57166     0.015982465       21334.807
0.000       305.61413     0.015445479       22335.309
0.000       313.65661     0.014729119       23025.568
0.000       321.69909     0.013710305       23124.208
0.000       329.74156     0.014037834       25497.139
0.000       337.78404     0.013447412       26255.866
0.000       345.82652     0.012602602       26406.167
0.000       353.86900     0.011804806       26500.657
0.000       361.91147     0.011563738       27769.979
0.000       369.95395     0.011408397       29264.284
0.000       377.99643     0.010508118       28751.352
0.000       386.03891     0.010585191       30850.498
0.000       394.08138     0.010148209       31464.253
0.000       402.12386    0.0096967872       31943.143
0.000       410.16634    0.0094142773       32910.713
0.000       418.20881    0.0089809844       33279.267
0.000       426.25129    0.0088332312       34656.682
0.000       434.29377    0.0084789972       35185.647
0.000       442.33625    0.0082387134       36123.285
0.000       450.37872    0.0079500849       36793.883
0.000       458.42120    0.0076153869       37166.898
0.000       466.46368    0.0075515449       38829.300
0.000       474.50615    0.0072458175       39217.798
0.000       482.54863    0.0070755951       40276.943
0.000       490.59111    0.0068762487       41132.097
0.000       498.63359    0.0066077880       41502.183
0.000       506.67606    0.0064874316       42749.812
0.000       514.71854    0.0062423159       43124.636
0.000     0.062831853       2409.4439     0.030277965
0.000      0.12566371       3705.5949      0.37252703
0.000      0.18849556       1526.9137      0.51806960
0.000      0.25132741       1233.5615      0.99208904
0.000      0.31415927       889.96375       1.3979518
0.000      0.37699112       671.79350       1.8234733
0.000      0.43982297       559.99445       2.4137246
0.000      0.50265482       503.18165       3.2374615
0.000      0.56548668       423.91352       3.8834227
0.000      0.62831853       400.42271       5.0318601
0.000      0.69115038       357.59304       5.9810436
0.000      0.75398224       320.81670       6.9664347
0.000      0.81681409       312.85256       8.6373325
0.000      0.87964594       294.05390       10.139602
0.000      0.94247780       274.14873       11.627059
0.000       1.0053096       259.12991       13.337897
0.000       1.0681415       244.99261       15.125496
0.000       1.1309734       218.14601       15.987282
0.000       1.1938052       215.35187       18.561767
0.000       1.2566371       192.93876       19.396320
0.000       1.3194689       191.55044       22.292096
0.000       1.3823008       186.65925       24.976261
0.000       1.4451326       174.73309       26.715822
0.000       1.5079645       164.39440       28.558185
0.000       1.5707963       159.12455       31.244032
0.000       1.6336282       151.91330       33.552563
0.000       1.6964600       142.89836       35.345034
0.000       1.7592919       135.49955       37.378494
0.000       1.8221237       131.15597       40.196841
0.000       1.8849556       127.27753       43.184250
0.000       1.9477874       121.15770       45.357172
0.000       2.0106193       118.40178       48.754874
0.000       2.0734512       112.23209       50.683750
0.000       2.1362830       107.41662       53.053996
0.000       2.1991149       100.61451       54.209401
0.000       2.2619467       98.858885       57.960627
0.000       2.3247786       94.872174       60.388451
0.000       2.3876104       94.170535       64.934529
0.000       2.4504423       88.629739       66.066782
0.000       2.5132741       86.635631       69.676509
0.000       2.5761060       81.279510       70.395113
0.000       2.6389378       79.608801       74.117168
0.000       2.7017697       76.186164       76.118696
0.000       2.7646015       73.826316       79.027654
0.000       2.8274334       71.738546       82.148564
0.000       2.8902652       68.769380       84.115972
0.000       2.9530971       67.755186       88.398720
0.000       3.0159289       64.910740       90.209056
0.000       3.0787608       62.971518       93.098410
0.000       3.1415927       60.522769       95.068943
0.000       3.2044245       59.381874       98.986118
0.000       3.2672564       56.348066       99.563215
0.000       3.3300882       54.816485       102.55307
0.000       3.3929201       53.291951       105.45150
0.000       3.4557519       51.758744       108.21355
0.000       3.5185838       49.578956       109.41360
0.000       3.5814156       48.772599       113.50378
0.000       3.6442475       46.821441       114.79914
0.000       3.7070793       46.042514       118.82968
0.000       3.7699112       45.007989       122.16681
0.000       3.8327430       44.077244       125.72273
0.000       3.8955749       42.588700       127.54966
0.000       3.9584067       41.448034       130.23732
0.000       4.0212386       39.964916       131.65237
0.000       4.1469023       37.486640       135.43103
0.000       4.2725660       36.556533       144.44470
0.000       4.3982297       34.299732       147.84094
0.000       4.5238934       31.934247       149.78352
0.000       4.6495571       30.545259       155.54241
0.000       4.7752208       29.284113       161.54098
0.000       4.9008845       28.088703       167.50407
0.000       5.0265482       26.956493       173.43758
0.000       5.1522120       25.614103       177.47230
0.000       5.2778757       23.833155       177.51263
0.000       5.4035394       23.141723       184.96984
0.000       5.5292031       22.336401       191.28067
0.000       5.6548668       21.597362       197.85093
0.000       5.7805305       20.594035       201.51844
0.000       5.9061942       19.485937       203.38303
0.000       6.0318579       18.795101       208.96244
0.000       6.1575216       18.027794       213.22134
0.000       6.2831853       17.334833       217.83593
0.000       6.4088490       16.646074       221.98427
0.000       6.5345127       15.898396       224.73110
0.000       6.6601764       15.547066       232.68902
0.000       6.7858401       14.974689       237.04945
0.000       6.9115038       14.264689       238.58890
0.000       7.0371675       13.667675       241.30069
0.000       7.1628313       13.354244       248.62439
0.000       7.2884950       12.902908       253.08792
0.000       7.4141587       12.553651       259.19459
0.000       7.5398224       12.070418       262.10537
0.000       7.6654861       11.595791       264.59993
0.000       7.7911498       11.310464       270.99130
0.000       7.9168135       10.963678       275.59909
0.000       8.0424772       10.711735       282.29267
0.000       8.2938046       9.8695576       285.25242
0.000       8.5451320       9.2966204       293.86759
0.000       8.7964594       8.9872107       309.89809
0.000       9.0477868       8.4897750       318.56167
0.000       9.2991143       7.9664690       324.53451
0.000       9.5504417       7.5742555       334.25705
