% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2409.1672     0.030274488
0.000      0.12566371       3706.5580      0.37262385
0.000      0.18849556       1528.0165      0.51844377
0.000      0.25132741       1234.4216      0.99278077
0.000      0.31415927       891.09009       1.3997210
0.000      0.37699112       672.84134       1.8263175
0.000      0.43982297       561.29786       2.4193426
0.000      0.50265482       504.47345       3.2457730
0.000      0.56548668       425.92955       3.9018913
0.000      0.62831853       402.02228       5.0519610
0.000      0.69115038       359.74756       6.0170798
0.000      0.75398224       322.97132       7.0132216
0.000      0.81681409       315.17269       8.7013873
0.000      0.87964594       296.92667       10.238661
0.000      0.94247780       276.63871       11.732663
0.000       1.0053096       261.85030       13.477920
0.000       1.0681415       247.96506       15.309010
0.000       1.1309734       221.06690       16.201346
0.000       1.1938052       218.55465       18.837823
0.000       1.2566371       196.01533       19.705610
0.000       1.3194689       195.25047       22.722695
0.000       1.3823008       190.30148       25.463616
0.000       1.4451326       178.37695       27.272949
0.000       1.5079645       167.62884       29.120065
0.000       1.5707963       162.73070       31.952098
0.000       1.6336282       155.31871       34.304705
0.000       1.6964600       146.39363       36.209566
0.000       1.7592919       138.96808       38.335313
0.000       1.8221237       134.88114       41.338536
0.000       1.8849556       131.18803       44.511051
0.000       1.9477874       124.81648       46.726889
0.000       2.0106193       122.28450       50.353678
0.000       2.0734512       116.00834       52.389095
0.000       2.1362830       111.21606       54.930570
0.000       2.1991149       104.25583       56.171283
0.000       2.2619467       102.70456       60.215331
0.000       2.3247786       98.688672       62.817745
0.000       2.3876104       98.135350       67.668435
0.000       2.4504423       92.546039       68.986088
0.000       2.5132741       90.466856       72.757763
0.000       2.5761060       85.175539       73.769412
0.000       2.6389378       83.514312       77.753267
0.000       2.7017697       80.084020       80.013100
0.000       2.7646015       77.739734       83.216787
0.000       2.8274334       75.683885       86.666413
0.000       2.8902652       72.578899       88.775624
0.000       2.9530971       71.618800       93.439494
0.000       3.0159289       68.670059       95.433532
0.000       3.0787608       66.679708       98.580676
0.000       3.1415927       64.124296       100.72621
0.000       3.2044245       63.068881       105.13214
0.000       3.2672564       59.908522       105.85430
0.000       3.3300882       58.418012       109.29096
0.000       3.3929201       56.834323       112.46097
0.000       3.4557519       55.246045       115.50456
0.000       3.5185838       52.987250       116.93522
0.000       3.5814156       52.215507       121.51613
0.000       3.6442475       50.169889       123.00903
0.000       3.7070793       49.477486       127.69489
0.000       3.7699112       48.454646       131.52219
0.000       3.8327430       47.450591       135.34462
0.000       3.8955749       45.894798       137.45116
0.000       3.9584067       44.694887       140.43953
0.000       4.0212386       43.137833       142.10459
0.000       4.1469023       40.476095       146.23128
0.000       4.2725660       39.627430       156.57864
0.000       4.3982297       37.259476       160.59822
0.000       4.5238934       34.772421       163.09561
0.000       4.6495571       33.277971       169.45791
0.000       4.7752208       32.088883       177.01303
0.000       4.9008845       30.774713       183.52181
0.000       5.0265482       29.588184       190.36984
0.000       5.1522120       28.117640       194.81854
0.000       5.2778757       26.359703       196.33071
0.000       5.4035394       25.648495       205.00625
0.000       5.5292031       24.804994       212.42078
0.000       5.6548668       24.091108       220.69585
0.000       5.7805305       22.981338       224.87888
0.000       5.9061942       21.755593       227.07240
0.000       6.0318579       21.029159       233.80052
0.000       6.1575216       20.231338       239.28347
0.000       6.2831853       19.482948       244.82995
0.000       6.4088490       18.817311       250.93887
0.000       6.5345127       17.997673       254.40534
0.000       6.6601764       17.618329       263.68910
0.000       6.7858401       17.024737       269.50172
0.000       6.9115038       16.222874       271.34118
0.000       7.0371675       15.555965       274.63817
0.000       7.1628313       15.231139       283.56773
0.000       7.2884950       14.752227       289.36195
0.000       7.4141587       14.301712       295.28673
0.000       7.5398224       13.844332       300.62535
0.000       7.6654861       13.302485       303.54434
0.000       7.7911498       12.985068       311.11370
0.000       7.9168135       12.586257       316.38662
0.000       8.0424772       12.291849       323.93435
0.000       8.2938046       11.374154       328.73864
0.000       8.5451320       10.716244       338.74211
0.000       8.7964594       10.373184       357.68940
0.000       9.0477868       9.8351820       369.04535
0.000       9.2991143       9.2959117       378.69276
0.000       9.5504417       8.8308209       389.71014
0.000       9.8017691       8.4152617       401.46833
0.000       10.053096       7.9652141       409.98434
0.000       10.304424       7.5878830       420.59299
0.000       10.555751       7.2608122       432.63626
0.000       10.807079       6.9578036       444.90509
0.000       11.058406       6.6164245       453.28487
