# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1064.8177   0.00020907646
3.000     0.031415927       2500.9777    0.0039285266
3.000     0.047123890       1266.1948    0.0067126529
3.000     0.062831853       1074.4149     0.013501496
3.000     0.078539816       798.67094     0.019602334
3.000     0.094247780       596.70155     0.025307008
3.000      0.10995574       491.55218     0.033105004
3.000      0.12566371       446.99522     0.044936861
3.000      0.14137167       315.84929     0.045210294
3.000      0.15707963       271.22892     0.053255675
3.000      0.17278760       240.12552     0.062754702
3.000      0.18849556       219.54383     0.074489465
3.000      0.20420352       190.39661     0.082133279
3.000      0.21991149       168.56765     0.090821407
3.000      0.23561945       148.38554     0.098332083
3.000      0.25132741       137.30480      0.11042707
3.000      0.26703538       117.55076      0.11339714
3.000      0.28274334       105.52961      0.12084306
3.000      0.29845130       95.184647      0.12819102
3.000      0.31415927       86.078360      0.13521157
3.000      0.32986723       78.734887      0.14317097
3.000      0.34557519       71.004986      0.14845225
3.000      0.36128316       67.263428      0.16069131
3.000      0.37699112       60.847411      0.16516032
3.000      0.39269908       56.842684      0.17439117
3.000      0.40840704       53.907815      0.18603800
3.000      0.42411501       49.938292      0.19299891
3.000      0.43982297       47.044984      0.20277635
3.000      0.45553093       43.610435      0.20884030
3.000      0.47123890       41.266512      0.21877184
3.000      0.48694686       37.946164      0.22196416
3.000      0.50265482       36.412867      0.23427972
3.000      0.51836279       34.186208      0.24122518
3.000      0.53407075       32.512825      0.25091195
3.000      0.54977871       30.984979      0.26084663
3.000      0.56548668       29.762854      0.27265405
3.000      0.58119464       27.864113      0.27712792
3.000      0.59690260       26.438425      0.28485002
3.000      0.61261057       25.231560      0.29387850
3.000      0.62831853       23.999462      0.30158613
3.000      0.64402649       22.895998      0.30984253
3.000      0.65973446       21.634208      0.31471595
3.000      0.67544242       21.159432      0.33032334
3.000      0.69115038       20.280418      0.33920701
3.000      0.70685835       19.739998      0.35319498
3.000      0.72256631       18.413947      0.35192513
3.000      0.73827427       18.086670      0.36870759
3.000      0.75398224       17.345881      0.37666040
3.000      0.76969020       16.880235      0.38993896
3.000      0.78539816       16.132770      0.39595774
3.000      0.80110613       15.556437      0.40518239
3.000      0.81681409       15.044915      0.41536478
3.000      0.83252205       14.444179      0.42223125
3.000      0.84823002       14.033185      0.43387780
3.000      0.86393798       13.530369      0.44200542
3.000      0.87964594       13.072386      0.45076358
3.000      0.89535391       12.692580      0.46153470
3.000      0.91106187       12.420644      0.47583677
3.000      0.92676983       11.885902      0.47931175
3.000      0.94247780       11.484141      0.48705964
3.000      0.95818576       11.174421      0.49801729
3.000      0.97389372       11.002753      0.51488034
3.000      0.98960169       10.664420      0.52358691
3.000       1.0053096       10.322621      0.53132446
3.000       1.0367256       9.9857651      0.56369352
3.000       1.0681415       9.1505071      0.56493930
3.000       1.0995574       8.8814596      0.59814759
3.000       1.1309734       8.2369886      0.60366479
3.000       1.1623893       7.8971080      0.62833771
3.000       1.1938052       7.6752939      0.66155458
3.000       1.2252211       7.3613005      0.68591175
3.000       1.2566371       7.0539137      0.70913675
3.000       1.2880530       6.7006307      0.72541599
3.000       1.3194689       6.4034609      0.74521659
3.000       1.3508848       6.2367764      0.77890666
3.000       1.3823008       5.9874524      0.80116133
3.000       1.4137167       5.8418879      0.83620092
3.000       1.4451326       5.5038717      0.84151464
3.000       1.4765485       5.2951414      0.86355702
