# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.062831853       314.27663    0.0039493167
3.000      0.12566371       503.05393     0.050572497
3.000      0.18849556       194.20345     0.065891678
3.000      0.25132741       132.85603      0.10684916
3.000      0.31415927       85.505341      0.13431148
3.000      0.37699112       62.956413      0.17088486
3.000      0.43982297       46.223948      0.19923747
3.000      0.50265482       36.350442      0.23387808
3.000      0.56548668       27.848319      0.25511522
3.000      0.62831853       24.417024      0.30683338
3.000      0.69115038       20.980837      0.35092210
3.000      0.75398224       16.930307      0.36763634
3.000      0.81681409       15.248308      0.42098012
3.000      0.87964594       13.573973      0.46805938
3.000      0.94247780       11.857522      0.50289530
3.000       1.0053096       10.723598      0.55196348
3.000       1.0681415       9.4233331      0.58178319
3.000       1.1309734       8.6247913      0.63208571
3.000       1.1938052       7.9721236      0.68713914
3.000       1.2566371       7.2348502      0.72732647
3.000       1.3194689       6.7086986      0.78073928
3.000       1.3823008       6.1649221      0.82490797
3.000       1.4451326       5.6377604      0.86198555
3.000       1.5079645       5.2929996      0.91948671
3.000       1.5707963       4.9553828      0.97298713
3.000       1.6336282       4.5895649       1.0136813
3.000       1.6964600       4.3505411       1.0760797
3.000       1.7592919       4.1726055       1.1510423
3.000       1.8221237       3.7989210       1.1642979
3.000       1.8849556       3.6840847       1.2499805
3.000       1.9477874       3.4621083       1.2960913
3.000       2.0106193       3.3178918       1.3662243
3.000       2.0734512       3.1413078       1.4186072
3.000       2.1362830       3.0190430       1.4911314
3.000       2.1991149       2.8110290       1.5145350
3.000       2.2619467       2.6807185       1.5716961
3.000       2.3247786       2.6882470       1.7111347
3.000       2.3876104       2.5339950       1.7472957
3.000       2.4504423       2.4950003       1.8598344
3.000       2.5132741       2.3462750       1.8869864
3.000       2.5761060       2.2621834       1.9592473
3.000       2.6389378       2.1762020       2.0260817
3.000       2.7017697       2.1320183       2.1301303
3.000       2.7646015       2.0892417       2.2364366
3.000       2.8274334       1.9901057       2.2788910
3.000       2.8902652       1.9209685       2.3496524
3.000       2.9530971       1.8399640       2.4005611
3.000       3.0159289       1.7900100       2.4876486
3.000       3.0787608       1.7350919       2.5651962
3.000       3.1415927       1.6917745       2.6574332
3.000       3.2044245       1.6346058       2.7247925
3.000       3.2672564       1.6215402       2.8651517
3.000       3.3300882       1.5380592       2.8774682
3.000       3.3929201       1.5077557       2.9834731
3.000       3.4557519       1.4636862       3.0601724
3.000       3.5185838       1.4296230       3.1549718
3.000       3.5814156       1.3830682       3.2186817
3.000       3.6442475       1.3600484       3.3346342
3.000       3.7070793       1.3373231       3.4514551
3.000       3.7699112       1.2772199       3.4668041
3.000       3.8327430       1.2752055       3.6373036
3.000       3.8955749       1.2304258       3.6850243
3.000       3.9584067       1.2055146       3.7879479
3.000       4.0212386       1.1952274       3.9373166
3.000       4.1469023       1.1412354       4.1230339
3.000       4.2725660       1.0716365       4.2343243
3.000       4.3982297       1.0423815       4.4929406
3.000       4.5238934       1.0188576       4.7788220
3.000       4.6495571      0.96312722       4.9044316
3.000       4.7752208      0.93818645       5.1753508
3.000       4.9008845      0.89235849       5.3214873
3.000       5.0265482      0.86474945       5.5637822
3.000       5.1522120      0.82487328       5.7152951
3.000       5.2778757      0.81106981       6.0409600
3.000       5.4035394      0.77469568       6.1920770
3.000       5.5292031      0.75968877       6.5056933
3.000       5.6548668      0.72650560       6.6554336
3.000       5.7805305      0.71866076       7.0322982
3.000       5.9061942      0.68168278       7.1150139
3.000       6.0318579      0.67001647       7.4491898
3.000       6.1575216      0.64761155       7.6595399
3.000       6.2831853      0.61720556       7.7560338
3.000       6.4088490      0.61212208       8.1629742
3.000       6.5345127      0.58800141       8.3116691
3.000       6.6601764      0.57228602       8.5652609
3.000       6.7858401      0.55379373       8.7665591
3.000       6.9115038      0.54053369       9.0408797
3.000       7.0371675      0.52673865       9.2994896
3.000       7.1628313      0.50913902       9.4789624
3.000       7.2884950      0.50022555       9.8118229
3.000       7.4141587      0.49195577       10.157386
3.000       7.5398224      0.47643172       10.345566
3.000       7.6654861      0.46836039       10.687337
3.000       7.7911498      0.45713853       10.952739
3.000       7.9168135      0.44364767       11.152178
3.000       8.0424772      0.43549000       11.476725
3.000       8.2938046      0.41378844       11.959417
3.000       8.5451320      0.38930335       12.305938
3.000       8.7964594      0.36832216       12.700529
3.000       9.0477868      0.36196904       13.582158
3.000       9.2991143      0.34668215       14.122985
3.000       9.5504417      0.33327669       14.707727
3.000       9.8017691      0.31340426       14.951631
3.000       10.053096      0.30326788       15.609760
3.000       10.304424      0.29118413       16.140208
3.000       10.555751      0.27788495       16.557804
3.000       10.807079      0.26771300       17.118459
3.000       11.058406      0.26073906       17.862982
3.000       11.309734      0.24974268       18.302910
3.000       11.561061      0.24039262       18.818477
3.000       11.812388      0.23276650       19.435865
3.000       12.063716      0.22237068       19.778396
3.000       12.315043      0.21598734       20.436494
3.000       12.566371      0.21101485       21.213526
3.000       12.817698      0.20029140       21.367940
