# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.015707963       1064.4909   0.00020901231
3.000     0.031415927       2500.7208    0.0039281230
3.000     0.047123890       1265.9103    0.0067111444
3.000     0.062831853       1074.2721     0.013499702
3.000     0.078539816       798.63918     0.019601555
3.000     0.094247780       596.63174     0.025304048
3.000      0.10995574       491.52319     0.033103051
3.000      0.12566371       447.00443     0.044937786
3.000      0.14137167       315.83140     0.045207733
3.000      0.15707963       271.21203     0.053252357
3.000      0.17278760       240.12928     0.062755683
3.000      0.18849556       219.52958     0.074484633
3.000      0.20420352       190.40714     0.082137820
3.000      0.21991149       168.58507     0.090830791
3.000      0.23561945       148.38816     0.098333823
3.000      0.25132741       137.31686      0.11043677
3.000      0.26703538       117.55635      0.11340253
3.000      0.28274334       105.54599      0.12086182
3.000      0.29845130       95.209614      0.12822464
3.000      0.31415927       86.094796      0.13523739
3.000      0.32986723       78.754066      0.14320585
3.000      0.34557519       71.027515      0.14849935
3.000      0.36128316       67.279835      0.16073051
3.000      0.37699112       60.868932      0.16521874
3.000      0.39269908       56.865023      0.17445970
3.000      0.40840704       53.933595      0.18612697
3.000      0.42411501       49.963765      0.19309736
3.000      0.43982297       47.076336      0.20291149
3.000      0.45553093       43.639444      0.20897921
3.000      0.47123890       41.301030      0.21895483
3.000      0.48694686       37.979582      0.22215963
3.000      0.50265482       36.447302      0.23450128
3.000      0.51836279       34.219159      0.24145769
3.000      0.53407075       32.547184      0.25117711
3.000      0.54977871       31.019448      0.26113680
3.000      0.56548668       29.797874      0.27297487
3.000      0.58119464       27.898784      0.27747275
3.000      0.59690260       26.474485      0.28523854
3.000      0.61261057       25.269856      0.29432455
3.000      0.62831853       24.037848      0.30206851
3.000      0.64402649       22.933225      0.31034631
3.000      0.65973446       21.673069      0.31528128
3.000      0.67544242       21.200510      0.33096461
3.000      0.69115038       20.319929      0.33986786
3.000      0.70685835       19.781649      0.35394023
3.000      0.72256631       18.455162      0.35271281
3.000      0.73827427       18.128595      0.36956226
3.000      0.75398224       17.388342      0.37758244
3.000      0.76969020       16.922239      0.39090926
3.000      0.78539816       16.176307      0.39702630
3.000      0.80110613       15.600373      0.40632673
3.000      0.81681409       15.090656      0.41662761
3.000      0.83252205       14.488973      0.42354067
3.000      0.84823002       14.078284      0.43527215
3.000      0.86393798       13.575664      0.44348511
3.000      0.87964594       13.116983      0.45230139
3.000      0.89535391       12.738837      0.46321675
3.000      0.91106187       12.468443      0.47766792
3.000      0.92676983       11.933135      0.48121647
3.000      0.94247780       11.532160      0.48909619
3.000      0.95818576       11.221894      0.50013305
3.000      0.97389372       11.051825      0.51717672
3.000      0.98960169       10.714143      0.52602815
3.000       1.0053096       10.372438      0.53388862
3.000       1.0367256       10.037913      0.56663726
3.000       1.0681415       9.2010799      0.56806160
3.000       1.0995574       8.9348945      0.60174631
3.000       1.1309734       8.2877408      0.60738427
3.000       1.1623893       7.9503229      0.63257178
3.000       1.1938052       7.7309783      0.66635418
3.000       1.2252211       7.4152123      0.69093515
3.000       1.2566371       7.1084338      0.71461771
3.000       1.2880530       6.7576059      0.73158418
3.000       1.3194689       6.4577873      0.75153893
3.000       1.3508848       6.2931382      0.78594564
3.000       1.3823008       6.0445495      0.80880130
3.000       1.4137167       5.9030822      0.84496019
3.000       1.4451326       5.5630421      0.85056149
3.000       1.4765485       5.3531070      0.87301031
3.000       1.5079645       5.2950671      0.91984585
3.000       1.5393804       5.0592941      0.93497079
3.000       1.5707963       4.9284536      0.96769960
3.000       1.6022123       4.7000604      0.97934079
3.000       1.6336282       4.5298607       1.0004946
3.000       1.6650441       4.4056100       1.0302759
3.000       1.6964600       4.3424441       1.0740769
3.000       1.7278760       4.2455046       1.1095254
3.000       1.7592919       4.0540906       1.1183491
3.000       1.7907078       4.0069785       1.1656320
3.000       1.8221237       3.8681176       1.1855054
3.000       1.8535397       3.7750233       1.2178549
3.000       1.8849556       3.6698371       1.2451464
3.000       1.9163715       3.5653905       1.2712076
3.000       1.9477874       3.4904091       1.3066861
3.000       1.9792034       3.3759558       1.3259840
3.000       2.0106193       3.3129600       1.3641936
3.000       2.0734512       3.1083271       1.4037133
3.000       2.1362830       3.0590737       1.5109029
3.000       2.1991149       2.9072766       1.5663916
3.000       2.2619467       2.7637652       1.6203861
3.000       2.3247786       2.7014275       1.7195244
3.000       2.3876104       2.5388551       1.7506469
3.000       2.4504423       2.4480847       1.8248624
3.000       2.5132741       2.3762105       1.9110619
3.000       2.5761060       2.2911135       1.9843032
3.000       2.6389378       2.1868935       2.0360356
3.000       2.7017697       2.1054805       2.1036159
3.000       2.7646015       2.0954417       2.2430733
3.000       2.8274334       1.9899505       2.2787132
3.000       2.8902652       1.9558456       2.3923126
3.000       2.9530971       1.8577541       2.4237714
3.000       3.0159289       1.8454919       2.5647541
3.000       3.0787608       1.7511658       2.5889602
3.000       3.1415927       1.7326131       2.7215823
3.000       3.2044245       1.6840799       2.8072628
3.000       3.2672564       1.6368674       2.8922338
