# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000     0.062831853       313.83432    0.0039437584
3.000      0.12566371       502.39993     0.050506749
3.000      0.18849556       193.98095     0.065816187
3.000      0.25132741       132.73825      0.10675444
3.000      0.31415927       85.452155      0.13422793
3.000      0.37699112       62.944314      0.17085202
3.000      0.43982297       46.241770      0.19931429
3.000      0.50265482       36.389729      0.23413085
3.000      0.56548668       27.898972      0.25557925
3.000      0.62831853       24.484489      0.30768116
3.000      0.69115038       21.061493      0.35227114
3.000      0.75398224       17.014691      0.36946871
3.000      0.81681409       15.338938      0.42348226
3.000      0.87964594       13.669727      0.47136117
3.000      0.94247780       11.960064      0.50724425
3.000       1.0053096       10.834269      0.55765992
3.000       1.0681415       9.5384785      0.58889210
3.000       1.1309734       8.7456870      0.64094581
3.000       1.1938052       8.0972205      0.69792159
3.000       1.2566371       7.3611484      0.74002336
3.000       1.3194689       6.8407246      0.79610409
3.000       1.3823008       6.2969333      0.84257196
3.000       1.4451326       5.7675540      0.88183035
3.000       1.5079645       5.4288272      0.94308233
3.000       1.5707963       5.0894679      0.99931468
3.000       1.6336282       4.7277526       1.0442023
3.000       1.6964600       4.4899308       1.1105569
3.000       1.7592919       4.3141218       1.1900806
3.000       1.8221237       3.9389241       1.2072062
3.000       1.8849556       3.8299581       1.2994742
3.000       1.9477874       3.6033293       1.3489595
3.000       2.0106193       3.4611774       1.4252257
3.000       2.0734512       3.2839180       1.4830097
3.000       2.1362830       3.1652726       1.5633555
3.000       2.1991149       2.9518578       1.5904112
3.000       2.2619467       2.8221657       1.6546261
3.000       2.3247786       2.8364867       1.8054929
3.000       2.3876104       2.6757790       1.8450617
3.000       2.4504423       2.6428277       1.9700286
3.000       2.5132741       2.4890163       2.0017857
3.000       2.5761060       2.4044581       2.0824695
3.000       2.6389378       2.3167722       2.1569549
3.000       2.7017697       2.2750916       2.2730769
3.000       2.7646015       2.2332175       2.3905560
3.000       2.8274334       2.1320067       2.4413834
3.000       2.8902652       2.0620697       2.5222417
3.000       2.9530971       1.9758266       2.5778180
3.000       3.0159289       1.9277406       2.6790584
3.000       3.0787608       1.8711303       2.7663181
3.000       3.1415927       1.8276232       2.8708238
3.000       3.2044245       1.7683371       2.9477147
3.000       3.2672564       1.7583715       3.1069233
3.000       3.3300882       1.6704610       3.1251712
3.000       3.3929201       1.6387786       3.2427348
3.000       3.4557519       1.5939762       3.3325737
3.000       3.5185838       1.5582065       3.4387369
3.000       3.5814156       1.5101720       3.5144782
3.000       3.6442475       1.4879436       3.6482141
3.000       3.7070793       1.4651675       3.7814048
3.000       3.7699112       1.4010312       3.8028695
3.000       3.8327430       1.3998396       3.9928007
3.000       3.8955749       1.3522586       4.0499037
3.000       3.9584067       1.3260827       4.1667950
3.000       4.0212386       1.3162885       4.3361160
3.000       4.1469023       1.2584214       4.5464014
3.000       4.2725660       1.1863350       4.6875287
3.000       4.3982297       1.1539464       4.9738148
3.000       4.5238934       1.1308008       5.3038771
3.000       4.6495571       1.0722528       5.4601205
3.000       4.7752208       1.0452674       5.7660453
3.000       4.9008845      0.99602861       5.9397134
3.000       5.0265482      0.96565051       6.2129777
3.000       5.1522120      0.92290860       6.3945519
3.000       5.2778757      0.90736478       6.7581782
3.000       5.4035394      0.86891513       6.9451651
3.000       5.5292031      0.85238143       7.2994790
3.000       5.6548668      0.81577050       7.4731791
3.000       5.7805305      0.80892026       7.9155128
3.000       5.9061942      0.76775036       8.0133379
3.000       6.0318579      0.75470718       8.3907744
3.000       6.1575216      0.73049127       8.6397887
3.000       6.2831853      0.69608578       8.7472719
3.000       6.4088490      0.69219610       9.2308039
3.000       6.5345127      0.66413743       9.3878866
3.000       6.6601764      0.64666703       9.6785028
