% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2409.0304     0.030272769
0.000      0.12566371       3704.4480      0.37241173
0.000      0.18849556       1525.7308      0.51766825
0.000      0.25132741       1232.3514      0.99111581
0.000      0.31415927       888.36804       1.3954453
0.000      0.37699112       670.07552       1.8188101
0.000      0.43982297       558.10939       2.4055994
0.000      0.50265482       501.15889       3.2244472
0.000      0.56548668       422.28583       3.8685116
0.000      0.62831853       398.10747       5.0027661
0.000      0.69115038       355.46075       5.9453795
0.000      0.75398224       318.62544       6.9188522
0.000      0.81681409       310.54129       8.5735221
0.000      0.87964594       291.89269       10.065079
0.000      0.94247780       271.57026       11.517702
0.000       1.0053096       256.55538       13.205381
0.000       1.0681415       242.54481       14.974372
0.000       1.1309734       215.74930       15.811635
0.000       1.1938052       212.86359       18.347295
0.000       1.2566371       190.69194       19.170445
0.000       1.3194689       189.22440       22.021398
0.000       1.3823008       184.34443       24.666522
0.000       1.4451326       172.35565       26.352322
0.000       1.5079645       162.02654       28.146847
0.000       1.5707963       156.84664       30.796766
0.000       1.6336282       149.52583       33.025252
0.000       1.6964600       140.69653       34.800425
0.000       1.7592919       133.36676       36.790149
0.000       1.8221237       129.10310       39.567675
0.000       1.8849556       125.22460       42.487704
0.000       1.9477874       119.00239       44.550301
0.000       2.0106193       116.39128       47.927000
0.000       2.0734512       110.23333       49.781113
0.000       2.1362830       105.55625       52.135141
0.000       2.1991149       98.768330       53.214711
0.000       2.2619467       97.118188       56.940062
0.000       2.3247786       93.076973       59.245762
0.000       2.3876104       92.327579       63.663733
0.000       2.4504423       86.944821       64.810803
0.000       2.5132741       84.832866       68.226639
0.000       2.5761060       79.686536       69.015459
0.000       2.6389378       77.935722       72.559503
0.000       2.7017697       74.635827       74.569732
0.000       2.7646015       72.345672       77.442693
0.000       2.8274334       70.225888       80.416403
0.000       2.8902652       67.322114       82.345733
0.000       2.9530971       66.268329       86.458850
0.000       3.0159289       63.476950       88.216461
0.000       3.0787608       61.487090       90.903802
0.000       3.1415927       59.046451       92.749948
0.000       3.2044245       57.977180       96.644575
0.000       3.2672564       54.970536       97.129213
0.000       3.3300882       53.548232       100.18036
0.000       3.3929201       51.960446       102.81678
