% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2409.1247     0.030273953
0.000      0.12566371       3706.3930      0.37260726
0.000      0.18849556       1528.2821      0.51853391
0.000      0.25132741       1234.9895      0.99323751
0.000      0.31415927       891.75272       1.4007619
0.000      0.37699112       673.46497       1.8280102
0.000      0.43982297       562.07601       2.4226966
0.000      0.50265482       505.09390       3.2497649
0.000      0.56548668       426.54939       3.9075696
0.000      0.62831853       402.63148       5.0596164
0.000      0.69115038       360.32856       6.0267976
0.000      0.75398224       323.54275       7.0256299
0.000      0.81681409       315.68548       8.7155447
0.000      0.87964594       297.30972       10.251870
0.000      0.94247780       277.04190       11.749763
0.000       1.0053096       262.37023       13.504682
0.000       1.0681415       248.53479       15.344185
0.000       1.1309734       221.48520       16.232002
0.000       1.1938052       219.14831       18.888992
0.000       1.2566371       196.53859       19.758214
0.000       1.3194689       195.94731       22.803791
0.000       1.3823008       190.75120       25.523792
0.000       1.4451326       178.85783       27.346474
0.000       1.5079645       167.96400       29.178287
0.000       1.5707963       163.15443       32.035297
0.000       1.6336282       155.86029       34.424320
0.000       1.6964600       146.82841       36.317108
0.000       1.7592919       139.42319       38.460859
0.000       1.8221237       135.36477       41.486759
0.000       1.8849556       131.76641       44.707291
0.000       1.9477874       125.43305       46.957712
0.000       2.0106193       122.96995       50.635930
0.000       2.0734512       116.63676       52.672890
0.000       2.1362830       111.74481       55.191724
0.000       2.1991149       104.71807       56.420331
0.000       2.2619467       103.27286       60.548523
0.000       2.3247786       99.200739       63.143688
0.000       2.3876104       98.723896       68.074262
0.000       2.4504423       93.121598       69.415125
0.000       2.5132741       90.998705       73.185501
0.000       2.5761060       85.678456       74.204983
0.000       2.6389378       84.046985       78.249194
0.000       2.7017697       80.487900       80.416622
0.000       2.7646015       78.220166       83.731067
0.000       2.8274334       76.013738       87.044131
0.000       2.8902652       72.955244       89.235955
0.000       2.9530971       72.054353       94.007750
0.000       3.0159289       69.057754       95.972328
0.000       3.0787608       67.156024       99.284873
0.000       3.1415927       64.630143       101.52079
0.000       3.2044245       63.545110       105.92599
0.000       3.2672564       60.396005       106.71565
0.000       3.3300882       58.869089       110.13486
0.000       3.3929201       57.276635       113.33620
0.000       3.4557519       55.719617       116.49467
0.000       3.5185838       53.428234       117.90841
0.000       3.5814156       52.592388       122.39321
0.000       3.6442475       50.555046       123.95337
0.000       3.7070793       49.804252       128.53823
0.000       3.7699112       48.757903       132.34533
0.000       3.8327430       47.746343       136.18820
0.000       3.8955749       46.233792       138.46641
0.000       3.9584067       44.999665       141.39719
0.000       4.0212386       43.439604       143.09869
0.000       4.1469023       40.915901       147.82020
0.000       4.2725660       40.022452       158.13948
0.000       4.3982297       37.614242       162.12736
0.000       4.5238934       35.092923       164.59889
0.000       4.6495571       33.607132       171.13407
0.000       4.7752208       32.297747       178.16520
0.000       4.9008845       31.016220       184.96201
0.000       5.0265482       29.899386       192.37210
0.000       5.1522120       28.447486       197.10394
0.000       5.2778757       26.629028       198.33668
0.000       5.4035394       25.911103       207.10525
0.000       5.5292031       25.069769       214.68822
0.000       5.6548668       24.347285       223.04266
0.000       5.7805305       23.248237       227.49056
0.000       5.9061942       22.054141       230.18848
0.000       6.0318579       21.312048       236.94566
0.000       6.1575216       20.499516       242.45531
0.000       6.2831853       19.774130       248.48904
0.000       6.4088490       19.087384       254.54045
0.000       6.5345127       18.291176       258.55415
0.000       6.6601764       17.880784       267.61719
0.000       6.7858401       17.301210       273.87829
0.000       6.9115038       16.563780       277.04312
0.000       7.0371675       15.876833       280.30305
0.000       7.1628313       15.558371       289.66001
0.000       7.2884950       15.026971       294.75100
0.000       7.4141587       14.605186       301.55254
0.000       7.5398224       14.145804       307.17173
0.000       7.6654861       13.620303       310.79650
0.000       7.7911498       13.282920       318.25004
0.000       7.9168135       12.936260       325.18481
0.000       8.0424772       12.593479       331.88337
0.000       8.2938046       11.724252       338.85727
0.000       8.5451320       11.053749       349.41070
0.000       8.7964594       10.740055       370.33988
0.000       9.0477868       10.194007       382.50955
0.000       9.2991143       9.6710311       393.97421
0.000       9.5504417       9.1955284       405.80493
0.000       9.8017691       8.7612402       417.97398
0.000       10.053096       8.3383815       429.19195
0.000       10.304424       7.9631219       441.39232
0.000       10.555751       7.5944359       452.51526
0.000       10.807079       7.3211805       468.14062
0.000       11.058406       6.9463351       475.88674
0.000       11.309734       6.7254086       492.88552
0.000       11.561061       6.4137574       502.08340
0.000       11.812388       6.2447212       521.43054
0.000       12.063716       5.9695208       530.94926
0.000       12.315043       5.8057817       549.33691
0.000       12.566371       5.5560785       558.55793
0.000       12.817698       5.3546793       571.26002
0.000       13.069025       5.1791728       585.67983
0.000       13.320353       4.9786362       596.11197
0.000       13.571680       4.8379478       612.67802
0.000       13.823008       4.6786250       626.03144
0.000       14.074335       4.5408563       641.34495
0.000       14.325663       4.3512154       648.07459
0.000       14.576990       4.2606297       668.57111
0.000       14.828317       4.1273540       681.73815
0.000       15.079645       4.0157620       697.60816
0.000       15.330972       3.8816014       708.58226
0.000       15.582300       3.7529699       719.34958
0.000       15.833627       3.6142481       726.82431
0.000       16.084954       3.5608982       750.73959
0.000       16.587609       3.3990389       785.91898
0.000       17.090264       3.1740087       802.64718
0.000       17.592919       2.9982472       827.08739
0.000       18.095574       2.8420987       853.15214
0.000       18.598229       2.6976343       879.16030
0.000       19.100883       2.5397590       896.65034
0.000       19.603538       2.4624423       939.80925
0.000       20.106193       2.3006581       947.35312
0.000       20.608848       2.2827380       1012.2492
0.000       21.111503       2.0922935       997.35623
0.000       21.614157       2.0882495       1068.2369
0.000       22.116812       1.9663647       1077.7100
0.000       22.619467       1.9172998       1124.1063
0.000       23.122122       1.8571927       1163.0818
0.000       23.624777       1.7640218       1178.3583
0.000       24.127432       1.6989192       1208.8607
0.000       24.630086       1.6478800       1247.3653
0.000       25.132741       1.5732805       1265.3073
0.000       25.635396       1.5224235       1299.3490
0.000       26.138051       1.4888848       1346.9484
0.000       26.640706       1.4336887       1373.2902
0.000       27.143361       1.3859452       1404.1295
0.000       27.646015       1.3377425       1431.9914
0.000       28.148670       1.3075576       1477.4225
0.000       28.651325       1.2662786       1508.8069
0.000       29.153980       1.2200649       1531.6049
0.000       29.656635       1.1834514       1563.8183
0.000       30.159289       1.1570883       1608.0520
0.000       30.661944       1.1210187       1637.1263
0.000       31.164599       1.0911372       1673.1475
0.000       31.667254       1.0743573       1728.4237
0.000       32.169909       1.0293385       1736.1129
0.000       33.175218      0.99220992       1835.3344
0.000       34.180528      0.92317871       1867.6365
0.000       35.185838      0.90020156       1986.6150
0.000       36.191147      0.83296328       2000.3370
0.000       37.196457      0.82213658       2143.4776
0.000       38.201767      0.79279498       2239.1412
0.000       39.207076      0.74944184       2288.2400
0.000       40.212386      0.71220673       2346.1505
0.000       41.217696      0.68434604       2427.7119
0.000       42.223005      0.65188700       2485.9364
0.000       43.228315      0.63578015       2601.8493
0.000       44.233625      0.62245172       2729.1884
0.000       45.238934      0.59527073       2792.0416
0.000       46.244244      0.58230805       2917.4008
0.000       47.249554      0.54797642       2928.3653
0.000       48.254863      0.53571768       3049.5061
0.000       49.260173      0.52829458       3199.1471
0.000       50.265482      0.50893371       3274.4702
0.000       51.270792      0.48555373       3315.2603
0.000       52.276102      0.46908367       3394.9248
0.000       53.281411      0.46034302       3527.5972
0.000       54.286721      0.44863731       3636.1892
0.000       55.292031      0.42988100       3681.3417
0.000       56.297340      0.42461315       3838.1977
0.000       57.302650      0.41529599       3958.6957
0.000       58.307960      0.40112231       4028.3816
0.000       59.313269      0.38738253       4095.1129
0.000       60.318579      0.37968170       4221.2709
0.000       61.323889      0.37591806       4391.9007
0.000       62.329198      0.36443444       4470.5843
0.000       63.334508      0.35480399       4566.4632
0.000       64.339818      0.34785471       4693.6167
0.000       66.350437      0.32946415       4875.3948
0.000       68.361056      0.31668012       5125.2770
0.000       70.371675      0.31169187       5502.8720
0.000       72.382295      0.29109737       5592.4947
0.000       74.392914      0.28286740       5899.9438
0.000       76.403533      0.27039891       6109.6387
0.000       78.414153      0.26344200       6434.8531
0.000       80.424772      0.25407516       6695.7924
0.000       82.435391      0.24608035       6983.7438
0.000       84.446011      0.23926798       7299.4854
0.000       86.456630      0.23287929       7624.2309
0.000       88.467249      0.22202148       7787.7647
0.000       90.477868      0.21695547       8140.8160
0.000       92.488488      0.21355415       8559.3602
0.000       94.499107      0.20617387       8814.2832
0.000       96.509726      0.20078125       9143.3780
0.000       98.520346      0.19390686       9393.7977
0.000       100.53096      0.18833441       9693.9213
0.000       102.54158      0.18613688       10167.233
0.000       104.55220      0.18053753       10452.913
0.000       106.56282      0.17451099       10698.187
0.000       108.57344      0.17327026       11234.794
0.000       110.58406      0.16877400       11562.545
0.000       112.59468      0.16441570       11889.598
0.000       114.60530      0.16082015       12263.794
0.000       116.61592      0.15760414       12662.265
0.000       118.62654      0.15554624       13154.531
0.000       120.63716      0.15115887       13444.578
0.000       122.64778      0.14736387       13773.373
0.000       124.65840      0.14599021       14327.111
0.000       126.66902      0.14328161       14752.713
0.000       128.67964      0.13909606       15014.628
0.000       132.70087      0.13449733       15922.280
0.000       136.72211      0.12856979       16646.597
0.000       140.74335      0.12345677       17436.882
0.000       144.76459      0.12144378       18665.197
0.000       148.78583      0.11651835       19442.373
0.000       152.80707      0.11300605       20426.892
0.000       156.82831      0.10996001       21487.128
0.000       160.84954      0.10624548       22399.597
0.000       164.87078      0.10232394       23231.572
0.000       168.89202      0.10057537       24546.484
0.000       172.91326     0.099431432       26042.271
0.000       176.93450     0.095408838       26772.962
0.000       180.95574     0.094121501       28253.755
0.000       184.97698     0.091135740       29222.139
0.000       188.99821     0.087576147       29952.232
0.000       193.01945     0.085832221       31269.710
0.000       197.04069     0.083603650       32401.362
0.000       201.06193     0.081451087       33539.508
0.000       205.08317     0.080331354       35103.094
0.000       209.10441     0.078459730       36341.816
0.000       213.12565     0.077760431       38136.081
0.000       217.14688     0.075195976       39005.484
0.000       221.16812     0.073969609       40540.694
0.000       225.18936     0.071485876       41355.579
0.000       229.21060     0.070173124       42809.993
0.000       233.23184     0.068627068       44109.203
0.000       237.25308     0.067475077       45650.886
0.000       241.27432     0.067041108       47702.893
0.000       245.29555     0.064943406       48559.517
0.000       249.31679     0.063649238       49971.002
0.000       253.33803     0.062686623       51635.253
0.000       257.35927     0.061724101       53302.120
0.000       265.40175     0.059237833       56102.312
0.000       273.44422     0.057123198       59168.293
0.000       281.48670     0.054555734       61643.078
0.000       289.52918     0.052902081       65045.916
0.000       297.57166     0.051226005       68380.997
0.000       305.61413     0.049741346       71929.675
0.000       313.65661     0.047988201       75018.445
0.000       321.69909     0.047771879       80573.471
0.000       329.74156     0.046221696       83953.194
0.000       337.78404     0.044553656       86990.334
0.000       345.82652     0.043704363       91573.526
0.000       353.86900     0.041690563       93591.318
0.000       361.91147     0.039201988       94142.431
0.000       369.95395     0.039395033       101054.29
0.000       377.99643     0.038384119       105023.12
0.000       386.03891     0.036615497       106715.73
0.000       394.08138     0.035591630       110350.90
0.000       402.12386     0.035102509       115634.64
0.000       410.16634     0.033846919       118323.07
0.000       418.20881     0.033493724       124111.85
0.000       426.25129     0.032500095       127512.28
0.000       434.29377     0.031711263       131593.55
0.000       442.33625     0.030895457       135463.56
0.000       450.37872     0.030069005       139162.72
0.000       458.42120     0.029168237       142355.59
0.000       466.46368     0.028058013       144271.54
0.000       474.50615     0.027769867       150303.68
0.000       482.54863     0.027211231       154896.54
0.000       490.59111     0.026313972       157403.97
0.000       498.63359     0.025638556       161030.60
0.000       506.67606     0.025491592       167980.31
0.000       514.71854     0.024485031       169153.25
0.125     0.062831853       2163.1930     0.027183484
0.125      0.12566371       3336.5817      0.33542978
0.125      0.18849556       1358.3183      0.46086654
0.125      0.25132741       1083.7631      0.87161403
0.125      0.31415927       779.22974       1.2240112
0.125      0.37699112       587.62123       1.5950015
0.125      0.43982297       485.61112       2.0931127
0.125      0.50265482       431.89440       2.7788007
0.125      0.56548668       363.13057       3.3265971
0.125      0.62831853       338.96434       4.2595515
0.125      0.69115038       303.28364       5.0726734
0.125      0.75398224       273.79852       5.9454496
0.125      0.81681409       264.25006       7.2954991
0.125      0.87964594       248.56456       8.5710334
0.125      0.94247780       231.30627       9.8100460
0.125       1.0053096       216.23415       11.129973
0.125       1.0681415       203.63246       12.571979
0.125       1.1309734       180.70247       13.243155
0.125       1.1938052       180.76709       15.580810
0.125       1.2566371       161.27401       16.213031
0.125       1.3194689       160.96942       18.733163
0.125       1.3823008       157.47559       21.071291
0.125       1.4451326       148.44232       22.696093
0.125       1.5079645       138.25564       24.017425
0.125       1.5707963       134.25419       26.360750
0.125       1.6336282       128.37865       28.354546
0.125       1.6964600       120.21318       29.733995
0.125       1.7592919       115.47340       31.854142
0.125       1.8221237       110.80719       33.960322
0.125       1.8849556       108.19066       36.708225
0.125       1.9477874       103.46424       38.733363
0.125       2.0106193       99.648874       41.032898
0.125       2.0734512       95.785862       43.256671
0.125       2.1362830       91.525686       45.205326
0.125       2.1991149       87.014783       46.882098
0.125       2.2619467       86.636140       50.794473
0.125       2.3247786       82.501361       52.514127
0.125       2.3876104       81.443419       56.158649
0.125       2.4504423       76.719179       57.188358
0.125       2.5132741       74.797249       60.155517
0.125       2.5761060       69.944876       60.578336
0.125       2.6389378       68.340079       63.625794
0.125       2.7017697       64.447100       64.390027
0.125       2.7646015       63.719510       68.208786
0.125       2.8274334       61.864944       70.842198
0.125       2.8902652       58.921486       72.070420
0.125       2.9530971       59.175448       77.204922
0.125       3.0159289       56.329368       78.283179
0.125       3.0787608       54.333559       80.327872
0.125       3.1415927       53.080321       83.378374
0.125       3.2044245       51.158278       85.277864
0.125       3.2672564       49.037951       86.646737
0.125       3.3300882       47.880391       89.576721
0.125       3.3929201       45.710362       90.449424
0.125       3.4557519       45.178598       94.456246
0.125       3.5185838       43.304409       95.566584
0.125       3.5814156       42.386756       98.642623
0.125       3.6442475       40.853275       100.16609
0.125       3.7070793       40.313615       104.04414
0.125       3.7699112       38.876220       105.52313
0.125       3.8327430       37.783700       107.77148
0.125       3.8955749       36.624415       109.68712
0.125       3.9584067       35.674187       112.09483
0.125       4.0212386       34.524607       113.73091
0.125       4.1469023       32.296403       116.67984
0.125       4.2725660       32.329379       127.74208
0.125       4.3982297       30.779884       132.66946
0.125       4.5238934       28.997295       136.00812
0.125       4.6495571       27.868104       141.90982
0.125       4.7752208       27.049763       149.21556
0.125       4.9008845       25.534282       152.27104
0.125       5.0265482       24.475945       157.47778
0.125       5.1522120       23.377055       161.97248
0.125       5.2778757       22.332197       166.33328
0.125       5.4035394       21.161291       169.14041
0.125       5.5292031       20.689487       177.17711
0.125       5.6548668       19.868338       182.01154
0.125       5.7805305       19.022232       186.13790
0.125       5.9061942       18.413362       192.18811
0.125       6.0318579       17.669319       196.44608
0.125       6.1575216       16.668937       197.14965
0.125       6.2831853       16.367066       205.67462
0.125       6.4088490       15.783981       210.48779
0.125       6.5345127       15.273468       215.89746
0.125       6.6601764       14.799116       221.49465
0.125       6.7858401       14.294996       226.28990
0.125       6.9115038       13.710660       229.32230
0.125       7.0371675       13.180019       232.69121
0.125       7.1628313       12.694155       236.33510
0.125       7.2884950       12.296876       241.20074
0.125       7.4141587       12.004015       247.84628
0.125       7.5398224       11.692754       253.90451
0.125       7.6654861       11.310130       258.08155
0.125       7.7911498       11.063654       265.07788
0.125       7.9168135       10.654219       267.82006
0.125       8.0424772       10.331523       272.27270
0.125       8.2938046       9.5512975       276.05399
0.125       8.5451320       9.2547017       292.54253
0.125       8.7964594       8.5300494       294.13420
0.125       9.0477868       8.4255561       316.15199
0.125       9.2991143       8.0128814       326.42523
0.125       9.5504417       7.4428871       328.45967
0.125       9.8017691       7.1028763       338.85813
0.125       10.053096       6.8662632       353.41930
0.125       10.304424       6.5005806       360.32431
0.125       10.555751       6.2501500       372.41585
0.125       10.807079       5.9459025       380.20076
0.125       11.058406       5.6621398       387.90775
0.125       11.309734       5.5341539       405.58194
0.125       11.561061       5.2469376       410.74211
0.125       11.812388       5.0471066       421.43043
0.125       12.063716       4.8394292       430.43511
0.125       12.315043       4.6457510       439.57603
0.125       12.566371       4.5162298       454.02094
0.125       12.817698       4.3224015       461.13222
0.125       13.069025       4.1659720       471.10337
0.125       13.320353       4.0488455       484.78442
0.125       13.571680       3.9380939       498.72046
0.125       13.823008       3.7981322       508.21559
0.125       14.074335       3.6242445       511.88383
0.125       14.325663       3.5275970       525.40400
0.125       14.576990       3.3713047       529.01968
0.125       14.828317       3.2468378       536.29835
0.125       15.079645       3.1714194       550.93108
0.125       15.330972       3.1066816       567.12147
0.125       15.582300       3.0196767       578.79577
0.125       15.833627       2.8920004       581.58050
0.125       16.084954       2.8180126       594.11796
0.125       16.587609       2.6524371       613.29120
0.125       17.090264       2.5418236       642.77945
0.125       17.592919       2.3978342       661.45928
0.125       18.095574       2.2751649       682.96776
0.125       18.598229       2.1975328       716.17699
0.125       19.100883       2.0221672       713.91693
0.125       19.603538       1.9496980       744.11662
0.125       20.106193       1.8944694       780.09480
0.125       20.608848       1.8085913       801.99532
0.125       21.111503       1.7158852       817.92959
0.125       21.614157       1.6390106       838.43028
0.125       22.116812       1.5946283       873.97160
0.125       22.619467       1.5394728       902.58763
0.125       23.122122       1.4885310       932.20454
0.125       23.624777       1.4292330       954.72090
0.125       24.127432       1.3760733       979.14073
0.125       24.630086       1.3526805       1023.9135
0.125       25.132741       1.2738919       1024.5247
0.125       25.635396       1.2321728       1051.6276
0.125       26.138051       1.1765902       1064.4251
0.125       26.640706       1.1577182       1108.9457
