% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000     0.062831853       2409.0166     0.030272596
0.000      0.12566371       3705.4952      0.37251701
0.000      0.18849556       1526.8631      0.51805243
0.000      0.25132741       1233.4413      0.99199237
0.000      0.31415927       889.76871       1.3976454
0.000      0.37699112       671.55919       1.8228373
0.000      0.43982297       559.83056       2.4130181
0.000      0.50265482       502.93921       3.2359017
0.000      0.56548668       424.31062       3.8870604
0.000      0.62831853       400.30521       5.0303836
0.000      0.69115038       357.90052       5.9861865
0.000      0.75398224       321.16396       6.9739754
0.000      0.81681409       313.25414       8.6484194
0.000      0.87964594       294.90397       10.168914
0.000      0.94247780       274.65549       11.648552
0.000       1.0053096       259.87133       13.376059
0.000       1.0681415       245.89804       15.181396
0.000       1.1309734       219.05279       16.053738
0.000       1.1938052       216.27603       18.641422
0.000       1.2566371       193.88616       19.491562
0.000       1.3194689       192.85972       22.444466
0.000       1.3823008       187.88649       25.140473
0.000       1.4451326       176.07069       26.920334
0.000       1.5079645       165.33537       28.721649
0.000       1.5707963       160.39803       31.494079
0.000       1.6336282       152.88548       33.767285
0.000       1.6964600       144.02324       35.623266
0.000       1.7592919       136.61022       37.684882
0.000       1.8221237       132.48731       40.604871
0.000       1.8849556       128.64526       43.648310
0.000       1.9477874       122.35490       45.805362
0.000       2.0106193       119.75341       49.311440
0.000       2.0734512       113.45477       51.235910
0.000       2.1362830       108.69207       53.683949
0.000       2.1991149       101.86192       54.881483
0.000       2.2619467       100.22215       58.759902
0.000       2.3247786       96.163925       61.210682
0.000       2.3876104       95.544810       65.882149
0.000       2.4504423       90.010024       67.095681
0.000       2.5132741       87.975724       70.754275
0.000       2.5761060       82.681641       71.609480
0.000       2.6389378       81.008282       75.420109
0.000       2.7017697       77.581626       77.512922
0.000       2.7646015       75.288903       80.593286
0.000       2.8274334       73.190118       83.810774
0.000       2.8902652       70.146111       85.799935
0.000       2.9530971       69.165601       90.238859
0.000       3.0159289       66.262110       92.087109
0.000       3.0787608       64.297156       95.058261
0.000       3.1415927       61.758650       97.010261
0.000       3.2044245       60.704100       101.19019
0.000       3.2672564       57.645423       101.85556
0.000       3.3300882       56.198281       105.13819
0.000       3.3929201       54.617674       108.07478
0.000       3.4557519       53.072195       110.95963
0.000       3.5185838       50.892975       112.31345
0.000       3.5814156       50.103815       116.60179
0.000       3.6442475       48.137453       118.02580
0.000       3.7070793       47.428529       122.40680
0.000       3.7699112       46.366563       125.85443
0.000       3.8327430       45.360015       129.38161
